Train,Epoch:,2,[39680/196000,(20%)],Ternary,accuracy:,61%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[40960/196000,(21%)],Ternary,accuracy:,45%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,44%
Train,Epoch:,2,[42240/196000,(22%)],Ternary,accuracy:,61%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,53%
Train,Epoch:,2,[43520/196000,(22%)],Ternary,accuracy:,50%,|,Relations,accuracy:,44%,|,Non-relations,accuracy:,47%
Train,Epoch:,2,[44800/196000,(23%)],Ternary,accuracy:,47%,|,Relations,accuracy:,38%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[46080/196000,(24%)],Ternary,accuracy:,62%,|,Relations,accuracy:,42%,|,Non-relations,accuracy:,56%
Train,Epoch:,2,[47360/196000,(24%)],Ternary,accuracy:,50%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[48640/196000,(25%)],Ternary,accuracy:,36%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,53%
Train,Epoch:,2,[49920/196000,(25%)],Ternary,accuracy:,52%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,47%
Train,Epoch:,2,[51200/196000,(26%)],Ternary,accuracy:,56%,|,Relations,accuracy:,59%,|,Non-relations,accuracy:,48%
Train,Epoch:,2,[52480/196000,(27%)],Ternary,accuracy:,52%,|,Relations,accuracy:,48%,|,Non-relations,accuracy:,53%
Train,Epoch:,2,[53760/196000,(27%)],Ternary,accuracy:,47%,|,Relations,accuracy:,50%,|,Non-relations,accuracy:,45%
Train,Epoch:,2,[55040/196000,(28%)],Ternary,accuracy:,55%,|,Relations,accuracy:,58%,|,Non-relations,accuracy:,58%
Train,Epoch:,2,[56320/196000,(29%)],Ternary,accuracy:,56%,|,Relations,accuracy:,45%,|,Non-relations,accuracy:,45%
Train,Epoch:,2,[57600/196000,(29%)],Ternary,accuracy:,48%,|,Relations,accuracy:,47%,|,Non-relations,accuracy:,44%
Train,Epoch:,2,[58880/196000,(30%)],Ternary,accuracy:,50%,|,Relations,accuracy:,41%,|,Non-relations,accuracy:,42%
